Ref,Val,Package,PosX,PosY,Rot,Side
"C30","100n","C_0805_2012Metric",89.892768,-152.697528,-90.000000,bottom
"C31","100n","C_0805_2012Metric",108.942768,-152.697528,-90.000000,bottom
"C32","100n","C_0805_2012Metric",127.992768,-152.697528,-90.000000,bottom
"C33","100n","C_0805_2012Metric",147.042768,-152.697528,-90.000000,bottom
"C34","100n","C_0805_2012Metric",166.092768,-152.697528,-90.000000,bottom
"C35","100n","C_0805_2012Metric",185.142768,-152.697528,-90.000000,bottom
"C36","100n","C_0805_2012Metric",204.192768,-152.697528,-90.000000,bottom
"C37","100n","C_0805_2012Metric",223.242768,-152.697528,-90.000000,bottom
"C38","100n","C_0805_2012Metric",242.292768,-152.697528,-90.000000,bottom
"C39","100n","C_0805_2012Metric",261.342768,-152.697528,-90.000000,bottom
"C40","100n","C_0805_2012Metric",280.392768,-152.697528,-90.000000,bottom
"C41","100n","C_0805_2012Metric",299.442768,-152.697528,-90.000000,bottom
"C42","100n","C_0805_2012Metric",318.492768,-152.697528,-90.000000,bottom
"C43","10u","C_1210_3225Metric",340.000000,-148.750000,180.000000,bottom
"C44","100n","C_0805_2012Metric",347.067768,-152.697528,-90.000000,bottom
"C45","100n","C_0805_2012Metric",380.404768,-152.697528,-90.000000,bottom
"C46","100n","C_0805_2012Metric",399.454768,-152.697528,-90.000000,bottom
"C47","100n","C_0805_2012Metric",418.504768,-152.697528,-90.000000,bottom
"C48","100n","C_0805_2012Metric",442.316768,-152.697528,-90.000000,bottom
"C49","100n","C_0805_2012Metric",461.366768,-152.697528,-90.000000,bottom
"C50","100n","C_0805_2012Metric",480.416768,-152.697528,-90.000000,bottom
"C51","100n","C_0805_2012Metric",499.466768,-152.697528,-90.000000,bottom
"C52","100n","C_0805_2012Metric",499.169112,-182.165472,90.000000,bottom
"C53","100n","C_0805_2012Metric",480.416368,-171.747512,90.000000,bottom
"C54","100n","C_0805_2012Metric",461.366368,-171.747512,90.000000,bottom
"C55","100n","C_0805_2012Metric",442.316368,-171.747512,90.000000,bottom
"C56","100n","C_0805_2012Metric",418.504368,-171.747512,90.000000,bottom
"C57","100n","C_0805_2012Metric",399.454368,-171.747512,90.000000,bottom
"C58","10u","C_1210_3225Metric",404.750000,-183.058440,180.000000,bottom
"C59","100n","C_0805_2012Metric",380.404368,-171.747512,90.000000,bottom
"C60","100n","C_0805_2012Metric",328.016608,-171.747512,90.000000,bottom
"C61","100n","C_0805_2012Metric",308.966608,-171.747512,90.000000,bottom
"C62","100n","C_0805_2012Metric",289.916608,-171.747512,90.000000,bottom
"C63","100n","C_0805_2012Metric",270.866608,-171.747512,90.000000,bottom
"C64","100n","C_0805_2012Metric",251.816608,-171.747512,90.000000,bottom
"C65","100n","C_0805_2012Metric",232.766608,-171.747512,90.000000,bottom
"C66","100n","C_0805_2012Metric",213.716608,-171.747512,90.000000,bottom
"C67","100n","C_0805_2012Metric",194.666608,-171.747512,90.000000,bottom
"C68","100n","C_0805_2012Metric",175.616608,-171.747512,90.000000,bottom
"C69","100n","C_0805_2012Metric",156.566608,-171.747512,90.000000,bottom
"C70","100n","C_0805_2012Metric",137.516608,-171.747512,90.000000,bottom
"C71","100n","C_0805_2012Metric",118.466608,-171.747512,90.000000,bottom
"C72","100n","C_0805_2012Metric",94.654608,-171.747512,90.000000,bottom
"C73","10u","C_1210_3225Metric",89.000000,-182.000000,90.000000,bottom
"C74","100n","C_0805_2012Metric",97.035408,-190.797496,-90.000000,bottom
"C75","100n","C_0805_2012Metric",123.229408,-190.797496,-90.000000,bottom
"C76","100n","C_0805_2012Metric",142.279408,-190.797496,-90.000000,bottom
"C77","100n","C_0805_2012Metric",161.329408,-190.797496,-90.000000,bottom
"C78","100n","C_0805_2012Metric",180.379408,-190.797496,-90.000000,bottom
"C79","100n","C_0805_2012Metric",199.429408,-190.797496,-90.000000,bottom
"C80","100n","C_0805_2012Metric",218.479408,-190.797496,-90.000000,bottom
"C81","100n","C_0805_2012Metric",237.529408,-190.797496,-90.000000,bottom
"C82","100n","C_0805_2012Metric",256.579408,-190.797496,-90.000000,bottom
"C83","100n","C_0805_2012Metric",275.629408,-190.797496,-90.000000,bottom
"C84","100n","C_0805_2012Metric",294.679408,-190.797496,-90.000000,bottom
"C85","100n","C_0805_2012Metric",313.729408,-190.797496,-90.000000,bottom
"C86","100n","C_0805_2012Metric",332.779408,-190.797496,-90.000000,bottom
"C87","100n","C_0805_2012Metric",354.210640,-181.272504,-90.000000,bottom
"C88","10u","C_1210_3225Metric",503.000000,-190.000000,90.000000,bottom
"C89","100n","C_0805_2012Metric",442.316816,-190.797496,-90.000000,bottom
"C90","100n","C_0805_2012Metric",461.366800,-190.797496,-90.000000,bottom
"C91","100n","C_0805_2012Metric",480.416784,-190.797496,-90.000000,bottom
"C92","100n","C_0805_2012Metric",499.466768,-219.372472,90.000000,bottom
"C93","100n","C_0805_2012Metric",480.416784,-209.847480,90.000000,bottom
"C94","100n","C_0805_2012Metric",461.366784,-209.847480,90.000000,bottom
"C95","100n","C_0805_2012Metric",442.316784,-209.847480,90.000000,bottom
"C96","100n","C_0805_2012Metric",399.454784,-209.847480,90.000000,bottom
"C97","100n","C_0805_2012Metric",339.923784,-209.847480,90.000000,bottom
"C98","100n","C_0805_2012Metric",304.204784,-209.847480,90.000000,bottom
"C99","100n","C_0805_2012Metric",285.154784,-209.847480,90.000000,bottom
"C100","100n","C_0805_2012Metric",266.104784,-209.847480,90.000000,bottom
"C101","100n","C_0805_2012Metric",247.054784,-209.847480,90.000000,bottom
"C102","100n","C_0805_2012Metric",228.004784,-209.847480,90.000000,bottom
"C103","10u","C_1210_3225Metric",217.000000,-219.000000,0.000000,bottom
"C104","100n","C_0805_2012Metric",208.954784,-209.847480,90.000000,bottom
"C105","100n","C_0805_2012Metric",189.904784,-209.847480,90.000000,bottom
"C106","100n","C_0805_2012Metric",170.854784,-209.847480,90.000000,bottom
"C107","100n","C_0805_2012Metric",151.804784,-209.847480,90.000000,bottom
"C108","100n","C_0805_2012Metric",132.754784,-209.847480,90.000000,bottom
"C109","100n","C_0805_2012Metric",113.704784,-209.847480,90.000000,bottom
"C110","100n","C_0805_2012Metric",92.273784,-209.847480,90.000000,bottom
"C111","100n","C_0805_2012Metric",89.892112,-228.897464,-90.000000,bottom
"C112","100n","C_0805_2012Metric",111.323112,-228.897464,-90.000000,bottom
"C113","100n","C_0805_2012Metric",135.135112,-228.897464,-90.000000,bottom
"C114","100n","C_0805_2012Metric",158.947112,-228.897464,-90.000000,bottom
"C115","100n","C_0805_2012Metric",228.003112,-228.897464,-90.000000,bottom
"C116","100n","C_0805_2012Metric",294.678112,-228.897464,-90.000000,bottom
"C117","100n","C_0805_2012Metric",316.109112,-228.897464,-90.000000,bottom
"C118","10u","C_1210_3225Metric",328.612224,-202.108424,90.000000,bottom
"C119","100n","C_0805_2012Metric",337.540112,-228.897464,-90.000000,bottom
"C120","100n","C_0805_2012Metric",356.590112,-228.897464,-90.000000,bottom
"C121","100n","C_0805_2012Metric",380.402112,-228.897464,-90.000000,bottom
"C122","100n","C_0805_2012Metric",399.452112,-228.897464,-90.000000,bottom
"C123","100n","C_0805_2012Metric",418.502112,-228.897464,-90.000000,bottom
"C124","100n","C_0805_2012Metric",451.839112,-228.897464,-90.000000,bottom
"C125","100n","C_0805_2012Metric",480.414112,-228.897464,-90.000000,bottom
"D1","D_Small","D_SOD-123",103.584288,-119.955368,90.000000,bottom
"D2","D_Small","D_SOD-123",141.684288,-119.955368,90.000000,bottom
"D3","D_Small","D_SOD-123",160.734288,-119.955368,90.000000,bottom
"D4","D_Small","D_SOD-123",179.784288,-119.955368,90.000000,bottom
"D5","D_Small","D_SOD-123",198.834288,-119.955368,90.000000,bottom
"D6","D_Small","D_SOD-123",227.409288,-119.955368,90.000000,bottom
"D7","D_Small","D_SOD-123",246.459288,-119.955368,90.000000,bottom
"D8","D_Small","D_SOD-123",265.509288,-119.955368,90.000000,bottom
"D9","D_Small","D_SOD-123",284.559288,-119.955368,90.000000,bottom
"D10","D_Small","D_SOD-123",313.134288,-119.955368,90.000000,bottom
"D11","D_Small","D_SOD-123",332.184288,-119.955368,90.000000,bottom
"D12","D_Small","D_SOD-123",351.234288,-119.955368,90.000000,bottom
"D13","D_Small","D_SOD-123",370.284288,-119.955368,90.000000,bottom
"D14","D_Small","D_SOD-123",394.096788,-119.955368,90.000000,bottom
"D15","D_Small","D_SOD-123",413.146788,-119.955368,90.000000,bottom
"D16","D_Small","D_SOD-123",432.196788,-119.955368,90.000000,bottom
"D17","D_Small","D_SOD-123",103.584096,-148.530344,90.000000,bottom
"D18","D_Small","D_SOD-123",122.634096,-148.530344,90.000000,bottom
"D19","D_Small","D_SOD-123",141.684096,-148.530344,90.000000,bottom
"D20","D_Small","D_SOD-123",160.734096,-148.530344,90.000000,bottom
"D21","D_Small","D_SOD-123",179.784096,-148.530344,90.000000,bottom
"D22","D_Small","D_SOD-123",198.834096,-148.530344,90.000000,bottom
"D23","D_Small","D_SOD-123",217.884096,-148.530344,90.000000,bottom
"D24","D_Small","D_SOD-123",236.934096,-148.530344,90.000000,bottom
"D25","D_Small","D_SOD-123",255.984096,-148.530344,90.000000,bottom
"D26","D_Small","D_SOD-123",275.034096,-148.530344,90.000000,bottom
"D27","D_Small","D_SOD-123",294.084096,-148.530344,90.000000,bottom
"D28","D_Small","D_SOD-123",313.134096,-148.530344,90.000000,bottom
"D29","D_Small","D_SOD-123",332.184096,-148.530344,90.000000,bottom
"D30","D_Small","D_SOD-123",360.759072,-148.530344,90.000000,bottom
"D31","D_Small","D_SOD-123",394.096572,-148.530344,90.000000,bottom
"D32","D_Small","D_SOD-123",413.146572,-148.530344,90.000000,bottom
"D33","D_Small","D_SOD-123",432.196572,-148.530344,90.000000,bottom
"D34","D_Small","D_SOD-123",456.009072,-148.530344,90.000000,bottom
"D35","D_Small","D_SOD-123",475.059072,-148.530344,90.000000,bottom
"D36","D_Small","D_SOD-123",494.109072,-148.530344,90.000000,bottom
"D37","D_Small","D_SOD-123",513.159072,-148.530344,90.000000,bottom
"D38","D_Small","D_SOD-123",108.346784,-167.580328,90.000000,bottom
"D39","D_Small","D_SOD-123",132.159284,-167.580328,90.000000,bottom
"D40","D_Small","D_SOD-123",151.209284,-167.580328,90.000000,bottom
"D41","D_Small","D_SOD-123",170.259284,-167.580328,90.000000,bottom
"D42","D_Small","D_SOD-123",189.309284,-167.580328,90.000000,bottom
"D43","D_Small","D_SOD-123",208.359284,-167.580328,90.000000,bottom
"D44","D_Small","D_SOD-123",227.409284,-167.580328,90.000000,bottom
"D45","D_Small","D_SOD-123",246.459284,-167.580328,90.000000,bottom
"D46","D_Small","D_SOD-123",265.509284,-167.580328,90.000000,bottom
"D47","D_Small","D_SOD-123",284.559284,-167.580328,90.000000,bottom
"D48","D_Small","D_SOD-123",303.609284,-167.580328,90.000000,bottom
"D49","D_Small","D_SOD-123",322.659284,-167.580328,90.000000,bottom
"D50","D_Small","D_SOD-123",341.709284,-167.580328,90.000000,bottom
"D51","D_Small","D_SOD-123",367.902816,-177.105320,90.000000,bottom
"D52","D_Small","D_SOD-123",394.096544,-167.580328,90.000000,bottom
"D53","D_Small","D_SOD-123",413.146544,-167.580328,90.000000,bottom
"D54","D_Small","D_SOD-123",432.196544,-167.580328,90.000000,bottom
"D55","D_Small","D_SOD-123",456.009044,-167.580328,90.000000,bottom
"D56","D_Small","D_SOD-123",475.059044,-167.580328,90.000000,bottom
"D57","D_Small","D_SOD-123",494.109044,-167.580328,90.000000,bottom
"D58","D_Small","D_SOD-123",513.158944,-177.105320,90.000000,bottom
"D59","D_Small","D_SOD-123",110.727834,-186.630312,90.000000,bottom
"D60","D_Small","D_SOD-123",136.921584,-186.630312,90.000000,bottom
"D61","D_Small","D_SOD-123",155.971584,-186.630312,90.000000,bottom
"D62","D_Small","D_SOD-123",175.021584,-186.630312,90.000000,bottom
"D63","D_Small","D_SOD-123",194.071584,-186.630312,90.000000,bottom
"D64","D_Small","D_SOD-123",213.121584,-186.630312,90.000000,bottom
"D65","D_Small","D_SOD-123",232.171584,-186.630312,90.000000,bottom
"D66","D_Small","D_SOD-123",251.221584,-186.630312,90.000000,bottom
"D67","D_Small","D_SOD-123",270.271584,-186.630312,90.000000,bottom
"D68","D_Small","D_SOD-123",289.321584,-186.630312,90.000000,bottom
"D69","D_Small","D_SOD-123",308.371584,-186.630312,90.000000,bottom
"D70","D_Small","D_SOD-123",327.421584,-186.630312,90.000000,bottom
"D71","D_Small","D_SOD-123",346.471584,-186.630312,90.000000,bottom
"D72","D_Small","D_SOD-123",456.008960,-186.630312,90.000000,bottom
"D73","D_Small","D_SOD-123",475.058960,-186.630312,90.000000,bottom
"D74","D_Small","D_SOD-123",494.108960,-186.630312,90.000000,bottom
"D75","D_Small","D_SOD-123",105.965328,-205.680296,90.000000,bottom
"D76","D_Small","D_SOD-123",127.396578,-205.680296,90.000000,bottom
"D77","D_Small","D_SOD-123",146.446578,-205.680296,90.000000,bottom
"D78","D_Small","D_SOD-123",165.496578,-205.680296,90.000000,bottom
"D79","D_Small","D_SOD-123",184.546578,-205.680296,90.000000,bottom
"D80","D_Small","D_SOD-123",203.596578,-205.680296,90.000000,bottom
"D81","D_Small","D_SOD-123",222.646578,-205.680296,90.000000,bottom
"D82","D_Small","D_SOD-123",241.696578,-205.680296,90.000000,bottom
"D83","D_Small","D_SOD-123",260.746578,-205.680296,90.000000,bottom
"D84","D_Small","D_SOD-123",279.796578,-205.680296,90.000000,bottom
"D85","D_Small","D_SOD-123",298.846578,-205.680296,90.000000,bottom
"D86","D_Small","D_SOD-123",317.896578,-205.680296,90.000000,bottom
"D87","D_Small","D_SOD-123",353.615328,-205.680296,90.000000,bottom
"D88","D_Small","D_SOD-123",413.146460,-205.680296,90.000000,bottom
"D89","D_Small","D_SOD-123",456.008960,-205.680296,90.000000,bottom
"D90","D_Small","D_SOD-123",475.058960,-205.680296,90.000000,bottom
"D91","D_Small","D_SOD-123",494.108960,-205.680296,90.000000,bottom
"D92","D_Small","D_SOD-123",513.158944,-215.205288,90.000000,bottom
"D93","D_Small","D_SOD-123",103.583960,-224.730280,90.000000,bottom
"D94","D_Small","D_SOD-123",125.015210,-224.730280,90.000000,bottom
"D95","D_Small","D_SOD-123",148.827710,-224.730280,90.000000,bottom
"D96","D_Small","D_SOD-123",172.640210,-224.730280,90.000000,bottom
"D97","D_Small","D_SOD-123",241.696460,-224.730280,90.000000,bottom
"D98","D_Small","D_SOD-123",308.371460,-224.730280,90.000000,bottom
"D99","D_Small","D_SOD-123",329.802710,-224.730280,90.000000,bottom
"D100","D_Small","D_SOD-123",351.233960,-224.730280,90.000000,bottom
"D101","D_Small","D_SOD-123",370.283960,-224.730280,90.000000,bottom
"D102","D_Small","D_SOD-123",394.096460,-224.730280,90.000000,bottom
"D103","D_Small","D_SOD-123",413.146460,-224.730280,90.000000,bottom
"D104","D_Small","D_SOD-123",432.196460,-224.730280,90.000000,bottom
"D105","D_Small","D_SOD-123",465.533960,-224.730280,90.000000,bottom
"D106","D_Small","D_SOD-123",494.108960,-224.730280,90.000000,bottom
"FB1","500m","R_0805_2012Metric",440.750000,-119.750000,180.000000,bottom
"J1","AVR-ISP-6","PinHeader_2x03_P2.54mm_Vertical",494.225000,-110.475000,-90.000000,bottom
"J2","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",446.245000,-108.480000,0.000000,bottom
"R1","10k","R_0603_1608Metric",489.250000,-117.750000,180.000000,bottom
"R2","22","R_0603_1608Metric",476.750000,-114.250000,-90.000000,bottom
"R3","10k","R_0603_1608Metric",475.500000,-132.750000,-90.000000,bottom
"R4","22","R_0603_1608Metric",478.250000,-114.250000,-90.000000,bottom
"R5","5k1","R_0603_1608Metric",453.250000,-110.500000,90.000000,bottom
"R6","5k1","R_0603_1608Metric",439.250000,-110.572500,90.000000,bottom
"SW999","SW_Push","SW_SPST_SKQG_WithStem",500.500000,-125.500000,90.000000,bottom
"U1","ATmega32U4-AU","TQFP-44_10x10mm_P0.8mm",479.500000,-123.750000,-90.000000,bottom
"U2","USBLC6-2SC6","SOT-23-6",446.750000,-116.697500,-90.000000,bottom
"U3","SK6812MINI","SK6812-MINI-E",423.849672,-124.107352,0.000000,bottom
"U4","SK6812MINI","SK6812-MINI-E",404.821672,-124.105352,0.000000,bottom
"U5","SK6812MINI","SK6812-MINI-E",385.749672,-124.107352,0.000000,bottom
"U6","SK6812MINI","SK6812-MINI-E",361.949872,-124.122552,0.000000,bottom
"U7","SK6812MINI","SK6812-MINI-E",342.899872,-124.122552,0.000000,bottom
"U8","SK6812MINI","SK6812-MINI-E",323.849872,-124.122552,0.000000,bottom
"U9","SK6812MINI","SK6812-MINI-E",304.799872,-124.122552,0.000000,bottom
"U10","SK6812MINI","SK6812-MINI-E",276.224872,-124.122552,0.000000,bottom
"U11","SK6812MINI","SK6812-MINI-E",257.174872,-124.122552,0.000000,bottom
"U12","SK6812MINI","SK6812-MINI-E",238.124872,-124.122552,0.000000,bottom
"U13","SK6812MINI","SK6812-MINI-E",219.074872,-124.122552,0.000000,bottom
"U14","SK6812MINI","SK6812-MINI-E",190.499872,-124.122552,0.000000,bottom
"U15","SK6812MINI","SK6812-MINI-E",171.449872,-124.122552,0.000000,bottom
"U16","SK6812MINI","SK6812-MINI-E",152.399872,-124.122552,0.000000,bottom
"U17","SK6812MINI","SK6812-MINI-E",133.349888,-124.122552,0.000000,bottom
"U18","SK6812MINI","SK6812-MINI-E",95.249920,-124.122552,0.000000,bottom
"U19","SK6812MINI","SK6812-MINI-E",95.250576,-152.697528,180.000000,bottom
"U20","SK6812MINI","SK6812-MINI-E",114.300576,-152.697528,180.000000,bottom
"U21","SK6812MINI","SK6812-MINI-E",133.350576,-152.697528,180.000000,bottom
"U22","SK6812MINI","SK6812-MINI-E",152.400576,-152.697528,180.000000,bottom
"U23","SK6812MINI","SK6812-MINI-E",171.450576,-152.697528,180.000000,bottom
"U24","SK6812MINI","SK6812-MINI-E",190.500576,-152.697528,180.000000,bottom
"U25","SK6812MINI","SK6812-MINI-E",209.550576,-152.697528,180.000000,bottom
"U26","SK6812MINI","SK6812-MINI-E",228.600576,-152.697528,180.000000,bottom
"U27","SK6812MINI","SK6812-MINI-E",247.650576,-152.697528,180.000000,bottom
"U28","SK6812MINI","SK6812-MINI-E",266.700576,-152.697528,180.000000,bottom
"U29","SK6812MINI","SK6812-MINI-E",285.750576,-152.697528,180.000000,bottom
"U30","SK6812MINI","SK6812-MINI-E",304.800576,-152.697528,180.000000,bottom
"U31","SK6812MINI","SK6812-MINI-E",323.850576,-152.697528,180.000000,bottom
"U32","SK6812MINI","SK6812-MINI-E",352.425576,-152.697528,180.000000,bottom
"U33","SK6812MINI","SK6812-MINI-E",385.762576,-152.697528,180.000000,bottom
"U34","SK6812MINI","SK6812-MINI-E",404.812576,-152.697528,180.000000,bottom
"U35","SK6812MINI","SK6812-MINI-E",423.862576,-152.697528,180.000000,bottom
"U36","SK6812MINI","SK6812-MINI-E",447.674576,-152.697528,180.000000,bottom
"U37","SK6812MINI","SK6812-MINI-E",466.724576,-152.697528,180.000000,bottom
"U38","SK6812MINI","SK6812-MINI-E",485.774576,-152.697528,180.000000,bottom
"U39","SK6812MINI","SK6812-MINI-E",504.824576,-152.697528,180.000000,bottom
"U40","SK6812MINI","SK6812-MINI-E",504.739200,-182.250200,0.000000,bottom
"U41","SK6812MINI","SK6812-MINI-E",485.774592,-171.747512,0.000000,bottom
"U42","SK6812MINI","SK6812-MINI-E",466.724592,-171.747512,0.000000,bottom
"U43","SK6812MINI","SK6812-MINI-E",447.674592,-171.747512,0.000000,bottom
"U44","SK6812MINI","SK6812-MINI-E",423.862592,-171.747512,0.000000,bottom
"U45","SK6812MINI","SK6812-MINI-E",404.812592,-171.747512,0.000000,bottom
"U46","SK6812MINI","SK6812-MINI-E",385.762592,-171.747512,0.000000,bottom
"U47","SK6812MINI","SK6812-MINI-E",333.374720,-171.747512,0.000000,bottom
"U48","SK6812MINI","SK6812-MINI-E",314.324720,-171.747512,0.000000,bottom
"U49","SK6812MINI","SK6812-MINI-E",295.274720,-171.747512,0.000000,bottom
"U50","SK6812MINI","SK6812-MINI-E",276.224720,-171.747512,0.000000,bottom
"U51","SK6812MINI","SK6812-MINI-E",257.174720,-171.747512,0.000000,bottom
"U52","SK6812MINI","SK6812-MINI-E",238.124720,-171.747512,0.000000,bottom
"U53","SK6812MINI","SK6812-MINI-E",219.074720,-171.747512,0.000000,bottom
"U54","SK6812MINI","SK6812-MINI-E",200.024720,-171.747512,0.000000,bottom
"U55","SK6812MINI","SK6812-MINI-E",180.974720,-171.747512,0.000000,bottom
"U56","SK6812MINI","SK6812-MINI-E",161.924720,-171.747512,0.000000,bottom
"U57","SK6812MINI","SK6812-MINI-E",142.874720,-171.747512,0.000000,bottom
"U58","SK6812MINI","SK6812-MINI-E",123.824720,-171.747512,0.000000,bottom
"U59","SK6812MINI","SK6812-MINI-E",100.012720,-171.747512,0.000000,bottom
"U60","SK6812MINI","SK6812-MINI-E",102.393216,-190.797496,180.000000,bottom
"U61","SK6812MINI","SK6812-MINI-E",128.587216,-190.797496,180.000000,bottom
"U62","SK6812MINI","SK6812-MINI-E",147.637216,-190.797496,180.000000,bottom
"U63","SK6812MINI","SK6812-MINI-E",166.687216,-190.797496,180.000000,bottom
"U64","SK6812MINI","SK6812-MINI-E",185.737216,-190.797496,180.000000,bottom
"U65","SK6812MINI","SK6812-MINI-E",204.787216,-190.797496,180.000000,bottom
"U66","SK6812MINI","SK6812-MINI-E",223.837216,-190.797496,180.000000,bottom
"U67","SK6812MINI","SK6812-MINI-E",242.887216,-190.797496,180.000000,bottom
"U68","SK6812MINI","SK6812-MINI-E",261.937216,-190.797496,180.000000,bottom
"U69","SK6812MINI","SK6812-MINI-E",280.987216,-190.797496,180.000000,bottom
"U70","SK6812MINI","SK6812-MINI-E",300.037216,-190.797496,180.000000,bottom
"U71","SK6812MINI","SK6812-MINI-E",319.087216,-190.797496,180.000000,bottom
"U72","SK6812MINI","SK6812-MINI-E",338.137216,-190.797496,180.000000,bottom
"U73","SK6812MINI","SK6812-MINI-E",359.568448,-181.272504,180.000000,bottom
"U74","SK6812MINI","SK6812-MINI-E",447.674624,-190.797496,180.000000,bottom
"U75","SK6812MINI","SK6812-MINI-E",466.724608,-190.797496,180.000000,bottom
"U76","SK6812MINI","SK6812-MINI-E",485.774592,-190.797496,180.000000,bottom
"U77","SK6812MINI","SK6812-MINI-E",504.824576,-219.372472,0.000000,bottom
"U78","SK6812MINI","SK6812-MINI-E",485.774592,-209.847480,0.000000,bottom
"U79","SK6812MINI","SK6812-MINI-E",466.724592,-209.847480,0.000000,bottom
"U80","SK6812MINI","SK6812-MINI-E",447.674592,-209.847480,0.000000,bottom
"U81","SK6812MINI","SK6812-MINI-E",404.812592,-209.847480,0.000000,bottom
"U82","SK6812MINI","SK6812-MINI-E",345.281592,-209.847480,0.000000,bottom
"U83","SK6812MINI","SK6812-MINI-E",309.562592,-209.847480,0.000000,bottom
"U84","SK6812MINI","SK6812-MINI-E",290.512592,-209.847480,0.000000,bottom
"U85","SK6812MINI","SK6812-MINI-E",271.462592,-209.847480,0.000000,bottom
"U86","SK6812MINI","SK6812-MINI-E",252.412592,-209.847480,0.000000,bottom
"U87","SK6812MINI","SK6812-MINI-E",233.362592,-209.847480,0.000000,bottom
"U88","SK6812MINI","SK6812-MINI-E",214.312592,-209.847480,0.000000,bottom
"U89","SK6812MINI","SK6812-MINI-E",195.262592,-209.847480,0.000000,bottom
"U90","SK6812MINI","SK6812-MINI-E",176.212592,-209.847480,0.000000,bottom
"U91","SK6812MINI","SK6812-MINI-E",157.162592,-209.847480,0.000000,bottom
"U92","SK6812MINI","SK6812-MINI-E",138.112592,-209.847480,0.000000,bottom
"U93","SK6812MINI","SK6812-MINI-E",119.062592,-209.847480,0.000000,bottom
"U94","SK6812MINI","SK6812-MINI-E",97.631592,-209.847480,0.000000,bottom
"U95","SK6812MINI","SK6812-MINI-E",95.252592,-228.897464,180.000000,bottom
"U96","SK6812MINI","SK6812-MINI-E",116.683592,-228.897464,180.000000,bottom
"U97","SK6812MINI","SK6812-MINI-E",140.495592,-228.897464,180.000000,bottom
"U98","SK6812MINI","SK6812-MINI-E",164.307592,-228.897464,180.000000,bottom
"U99","SK6812MINI","SK6812-MINI-E",233.363592,-228.897464,180.000000,bottom
"U100","SK6812MINI","SK6812-MINI-E",300.038592,-228.897464,180.000000,bottom
"U101","SK6812MINI","SK6812-MINI-E",321.469592,-228.897464,180.000000,bottom
"U102","SK6812MINI","SK6812-MINI-E",342.900592,-228.897464,180.000000,bottom
"U103","SK6812MINI","SK6812-MINI-E",361.950592,-228.897464,180.000000,bottom
"U104","SK6812MINI","SK6812-MINI-E",385.762592,-228.897464,180.000000,bottom
"U105","SK6812MINI","SK6812-MINI-E",404.812592,-228.897464,180.000000,bottom
"U106","SK6812MINI","SK6812-MINI-E",423.862592,-228.897464,180.000000,bottom
"U107","SK6812MINI","SK6812-MINI-E",457.199592,-228.897464,180.000000,bottom
"U108","SK6812MINI","SK6812-MINI-E",485.774592,-228.897464,180.000000,bottom
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",493.250000,-123.250000,-90.000000,bottom
"REF**","Stabilizer_MX_2u","Stabilizer_MX_2u",457.200000,-223.837500,0.000000,top
